# Filename: CLN3-561nm_416_ctrl_60x_015.tif
# Puncta radius (pixels): (1.3888888888888888, 1.3888888888888888)
# Puncta radius (nm): (150, 150)
# Cluster threshold (nm): 300
# Min puncta per cluster: 2
# Voxel size (nm): (108, 108, 200)
Y     X     CLUSTER_ID
8     1046  -1
10    907   -1
12    996   -1
15    971   -1
15    1598  -1
16    1504  -1
16    1799  -1
28    1514  -1
35    1496  -1
35    1627  -1
36    1222  -1
38    1691  -1
39    735   -1
41    1469  -1
41    1500  -1
45    1490  -1
52    358   -1
54    711   -1
59    1679  -1
61    1012  -1
62    729   -1
63    720   -1
65    962   -1
68    1517  -1
69    309   -1
69    403   -1
69    1690  -1
70    737   -1
70    1651  -1
72    1028  -1
72    1472  -1
73    1823  -1
76    357   -1
76    1662  -1
77    1474  -1
78    428   -1
80    1528  -1
81    1736  -1
82    431   -1
84    1519  -1
85    397   -1
86    966   -1
87    401   -1
87    1033  -1
87    1691  -1
89    1022  -1
89    1459  -1
92    725   -1
92    1839  -1
93    460   -1
93    505   -1
94    341   -1
95    561   -1
97    1483  -1
99    485   -1
99    1469  -1
99    1825  -1
100   432   -1
100   445   -1
101   1729  -1
102   1468  -1
103   970   -1
105   1907  -1
107   1670  -1
108   1812  -1
109   375   -1
109   384   -1
110   477   -1
111   486   -1
111   1051  -1
113   713   -1
113   1475  -1
114   1040  -1
115   1560  -1
117   580   -1
120   1029  -1
121   1514  -1
124   443   -1
124   458   -1
124   1485  -1
125   217   -1
125   1515  -1
125   1709  -1
129   449   -1
129   515   -1
129   742   -1
132   679   -1
132   767   -1
135   471   -1
135   1541  -1
138   1553  -1
140   656   -1
141   546   -1
141   556   -1
141   564   -1
142   1489  -1
143   538   -1
143   1479  -1
145   756   -1
146   499   -1
149   762   -1
149   1738  -1
151   351   -1
151   416   -1
151   560   -1
153   669   -1
154   1508  -1
154   1772  -1
155   556   -1
155   701   -1
159   661   -1
160   562   -1
161   190   -1
161   1682  -1
164   756   -1
165   957   -1
165   1512  -1
166   1560  -1
167   657   -1
167   691   -1
167   1763  -1
168   1035  -1
169   542   -1
170   1518  -1
172   549   -1
172   1028  -1
173   1780  -1
177   1493  -1
178   1582  -1
178   1600  -1
180   537   -1
180   1578  -1
181   679   -1
181   1593  -1
182   165   -1
182   699   -1
182   1471  -1
183   576   -1
185   1990  -1
186   665   -1
186   693   -1
186   1527  -1
186   1763  -1
188   381   -1
188   650   -1
188   1854  -1
189   1865  -1
192   605   -1
193   438   -1
193   531   -1
193   563   -1
193   595   -1
193   788   -1
193   1698  -1
193   1744  -1
195   1912  -1
198   602   -1
201   1738  -1
212   1621  -1
214   549   -1
215   615   -1
215   1729  -1
216   1640  -1
217   2027  -1
218   387   -1
218   620   -1
218   2009  -1
219   608   -1
223   390   -1
223   790   -1
224   161   -1
224   1603  -1
226   437   -1
226   1020  -1
229   789   -1
231   614   -1
231   779   -1
231   1620  -1
232   960   -1
233   693   -1
235   596   -1
236   509   -1
237   501   -1
239   619   -1
239   701   -1
242   826   -1
244   441   -1
244   466   -1
245   600   -1
245   1599  -1
245   1641  -1
246   640   -1
247   577   -1
247   584   -1
247   631   -1
247   2003  -1
250   295   -1
250   614   -1
250   622   -1
254   1814  -1
256   312   -1
257   1589  -1
258   1027  -1
259   1574  -1
259   1786  -1
260   1816  -1
263   278   -1
263   569   -1
263   599   -1
264   247   -1
266   1788  -1
267   1771  -1
268   589   -1
269   102   -1
269   130   -1
269   323   -1
270   235   -1
271   642   -1
272   108   -1
273   302   -1
273   1025  -1
274   360   -1
274   385   -1
275   221   -1
276   653   -1
277   175   -1
278   254   -1
278   625   -1
278   667   -1
278   1008  -1
280   365   -1
280   611   -1
280   632   -1
281   530   -1
282   120   -1
282   973   -1
283   510   -1
283   599   -1
284   114   -1
285   387   -1
286   607   -1
287   686   -1
287   1256  -1
288   586   -1
288   736   -1
289   812   -1
290   1862  -1
291   598   -1
291   1695  -1
292   253   -1
292   1915  -1
293   582   -1
294   1230  -1
294   1237  -1
295   1695  -1
296   223   -1
296   557   -1
296   636   -1
296   1262  -1
298   510   -1
300   672   -1
301   635   -1
301   1038  -1
302   1904  -1
303   365   -1
303   1031  -1
304   585   -1
307   372   -1
307   500   -1
308   163   -1
310   485   -1
310   618   -1
310   1833  -1
311   549   -1
312   160   -1
312   800   -1
312   1641  -1
312   1686  -1
314   649   -1
316   1633  -1
316   1720  -1
317   93    -1
317   148   -1
317   476   -1
318   764   -1
318   867   -1
321   687   -1
321   1826  -1
321   1909  -1
322   144   -1
322   623   -1
322   1945  -1
323   160   -1
323   593   -1
323   1635  -1
323   1834  -1
324   509   -1
324   598   -1
325   577   -1
326   268   -1
326   818   -1
327   1289  -1
330   186   -1
331   830   -1
332   945   -1
335   913   -1
336   891   -1
336   1948  -1
337   332   -1
338   1212  -1
339   157   -1
339   1857  -1
341   1004  -1
342   67    -1
342   697   -1
342   888   -1
342   1837  -1
343   1728  -1
344   620   -1
344   1740  -1
345   1021  -1
345   1955  -1
346   916   -1
347   1257  -1
348   1204  -1
349   151   -1
349   404   -1
349   1019  -1
350   232   -1
350   631   -1
350   703   -1
350   721   -1
350   1742  -1
350   1833  -1
351   74    -1
353   514   -1
354   504   -1
355   300   -1
355   971   -1
356   66    -1
356   333   -1
356   1688  -1
356   1763  -1
357   610   -1
359   619   -1
359   1761  -1
361   499   -1
361   1856  -1
364   1738  -1
366   115   -1
366   462   -1
367   574   -1
367   951   -1
367   1738  -1
368   206   -1
368   492   -1
369   538   -1
369   942   -1
374   46    -1
375   554   -1
375   1671  -1
375   1860  -1
377   943   -1
379   641   -1
380   52    -1
381   212   -1
381   496   -1
382   727   -1
383   572   -1
384   188   -1
384   632   -1
384   818   -1
386   534   -1
388   550   -1
389   386   -1
390   186   -1
390   507   -1
391   1018  -1
392   88    -1
392   487   -1
393   892   -1
394   58    -1
394   569   -1
394   1782  -1
395   360   -1
395   474   -1
395   1791  -1
396   7     -1
396   367   -1
397   469   -1
398   401   -1
398   449   -1
399   120   -1
400   86    -1
400   774   -1
400   1779  -1
402   262   -1
403   785   -1
404   73    -1
404   489   -1
405   84    -1
406   796   -1
408   39    -1
409   377   -1
410   818   -1
411   469   -1
411   776   -1
412   425   -1
412   431   -1
412   845   -1
414   464   -1
414   615   -1
415   474   -1
416   469   -1
416   539   -1
416   1026  -1
418   776   -1
419   633   -1
420   522   -1
420   951   -1
420   1848  -1
420   1877  -1
421   1355  -1
422   502   -1
425   649   -1
428   1862  -1
431   382   -1
432   283   -1
432   353   -1
432   535   -1
433   583   -1
434   607   -1
435   245   -1
435   254   -1
435   1450  -1
436   525   -1
437   1014  -1
438   187   -1
438   401   -1
439   160   -1
439   837   -1
440   1892  -1
441   34    -1
441   547   -1
441   619   -1
442   24    -1
445   373   -1
445   522   -1
445   824   -1
447   62    -1
448   80    -1
448   617   -1
450   10    -1
450   230   -1
450   571   -1
451   374   -1
452   326   -1
453   0     -1
453   39    -1
453   278   -1
454   549   -1
455   56    -1
455   355   -1
458   284   -1
458   623   -1
458   1378  -1
458   1885  -1
460   360   -1
460   508   -1
463   547   -1
463   1441  -1
466   352   -1
466   596   -1
467   60    -1
467   645   -1
468   163   -1
469   213   -1
469   327   -1
469   494   -1
469   1925  -1
473   168   -1
473   242   -1
473   262   -1
477   7     -1
477   293   -1
477   455   -1
478   1021  -1
479   32    -1
479   514   -1
480   503   -1
480   638   -1
482   236   -1
482   1024  -1
483   165   -1
483   255   -1
483   485   -1
483   1041  -1
484   450   -1
484   1909  -1
485   199   -1
485   473   -1
486   188   -1
487   383   -1
487   439   -1
488   954   -1
488   1444  -1
489   394   -1
490   238   -1
490   1005  -1
492   452   -1
495   168   -1
496   225   -1
496   327   -1
496   379   -1
499   445   -1
499   1899  -1
501   1395  -1
502   376   -1
505   362   -1
505   650   -1
508   547   -1
509   286   -1
510   621   -1
512   306   -1
513   402   -1
513   1945  -1
515   642   -1
516   478   -1
516   1398  -1
517   95    -1
517   509   -1
518   942   -1
520   1448  -1
521   574   -1
523   364   -1
524   180   -1
525   62    -1
525   432   -1
526   71    -1
526   667   -1
526   786   -1
528   305   -1
528   360   -1
530   369   -1
531   312   -1
533   523   -1
534   346   -1
534   356   -1
534   1041  -1
534   1878  -1
535   1199  -1
536   72    -1
536   198   -1
536   572   -1
536   1211  -1
537   555   -1
538   249   -1
539   478   -1
539   562   -1
540   435   -1
541   89    -1
543   322   -1
544   315   -1
544   342   -1
544   1868  -1
545   213   -1
545   1040  -1
547   311   -1
547   379   -1
548   289   -1
548   1062  -1
550   346   -1
550   427   -1
554   265   -1
556   243   -1
558   153   -1
558   682   -1
560   161   -1
560   266   -1
561   209   -1
561   346   -1
562   366   -1
565   1005  -1
567   260   -1
567   2009  -1
568   281   -1
568   501   -1
569   246   -1
569   1733  -1
572   1344  -1
573   703   -1
574   217   -1
575   1739  -1
576   156   -1
577   575   -1
578   440   -1
578   1321  -1
579   602   -1
583   541   -1
585   33    -1
586   1510  -1
587   1523  -1
587   1705  -1
588   489   -1
589   1174  -1
591   1670  -1
591   1696  -1
592   237   -1
592   1299  -1
593   543   -1
595   292   -1
596   871   -1
596   1908  -1
597   199   -1
597   279   -1
597   1588  -1
597   1604  -1
598   55    -1
599   119   -1
599   329   -1
599   1743  -1
600   1609  -1
601   162   -1
602   1666  -1
604   463   -1
604   1080  -1
605   155   -1
606   1783  -1
608   478   -1
609   1017  -1
609   1794  -1
